rank,score
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,5e-05
11,0.0003
12,0.0005
13,0.0009
14,0.00098
15,0.00106
16,0.00126
17,0.00129
18,0.00132
19,0.00158
20,0.00186
21,0.00261
22,0.00313
23,0.00325
24,0.00327
25,0.00332
26,0.00335
27,0.00343
28,0.00344
29,0.00345
30,0.0035
31,0.00351
32,0.00356
33,0.00359
34,0.00363
35,0.00364
36,0.00365
37,0.00365
38,0.00366
39,0.0037
40,0.0037
41,0.00374
42,0.00375
43,0.00379
44,0.0038
45,0.00382
46,0.00383
47,0.00388
48,0.00388
49,0.00389
50,0.00389
51,0.00389
52,0.00391
53,0.00392
54,0.00394
55,0.00394
56,0.00402
57,0.00414
58,0.00416
59,0.00421
60,0.00439
61,0.00477
62,0.00489
63,0.005
64,0.00539
65,0.0055
66,0.00551
67,0.00568
68,0.00583
69,0.00615
70,0.00631
71,0.00638
72,0.00661
73,0.00677
74,0.0068
75,0.00725
76,0.00733
77,0.00733
78,0.00738
79,0.0074
80,0.00757
81,0.00757
82,0.00763
83,0.00823
84,0.00857
85,0.00872
86,0.00895
87,0.00898
88,0.00916
89,0.00928
90,0.0094
91,0.00981
92,0.00999
93,0.01098
94,0.01129
95,0.01174
96,0.01219
97,0.01219
98,0.01233
99,0.0125
100,0.01255
101,0.01277
102,0.0135
103,0.01359
104,0.01367
105,0.01667
106,0.01667
107,0.01717
108,0.0178
109,0.01851
110,0.01865
111,0.01969
112,0.02122
113,0.02342
114,0.02551
115,0.02606
116,0.02667
117,0.02673
118,0.02673
119,0.02796
120,0.03128
121,0.03294
122,0.03359
123,0.0375
124,0.03862
125,0.03966
126,0.04247
127,0.04329
128,0.04598
129,0.05252
130,0.05446
131,0.05718
132,0.05783
133,0.05862
134,0.06442
135,0.06447
136,0.0703
137,0.07448
138,0.08114
139,0.08361
140,0.08783
141,0.0897
142,0.09421
143,0.09427
144,0.09546
145,0.09551
146,0.09594
147,0.096
148,0.0961
149,0.09629
150,0.0965
151,0.09846
152,0.10028
153,0.10788
154,0.11477
155,0.11515
156,0.13688
157,0.13783
158,0.13797
159,0.13987
160,0.14098
161,0.14261
162,0.14262
163,0.14273
164,0.14697
165,0.14822
166,0.15267
167,0.15319
168,0.15321
169,0.15387
170,0.15421
171,0.15707
172,0.15777
173,0.15945
174,0.16052
175,0.16059
176,0.16077
177,0.16204
178,0.16284
179,0.16311
180,0.16325
181,0.1642
182,0.1686
183,0.17009
184,0.17038
185,0.1707
186,0.17222
187,0.1724
188,0.17356
189,0.17482
190,0.17484
191,0.17775
192,0.17898
193,0.17918
194,0.17934
195,0.18016
196,0.1804
197,0.18044
198,0.18142
199,0.18186
200,0.18246
201,0.18324
202,0.18477
203,0.1848
204,0.18494
205,0.18533
206,0.18594
207,0.18642
208,0.18674
209,0.18686
210,0.1869
211,0.187
212,0.18776
213,0.18849
214,0.1896
215,0.18987
216,0.19027
217,0.19029
218,0.19071
219,0.19174
220,0.19282
221,0.19317
222,0.19332
223,0.19357
224,0.19361
225,0.19371
226,0.19385
227,0.19424
228,0.19466
229,0.19506
230,0.1951
231,0.19539
232,0.19553
233,0.19564
234,0.19745
235,0.19777
236,0.19816
237,0.19864
238,0.19882
239,0.19951
240,0.19953
241,0.19966
242,0.20078
243,0.20081
244,0.20094
245,0.2011
246,0.20134
247,0.20156
248,0.20162
249,0.20193
250,0.20241
251,0.20245
252,0.20282
253,0.20349
254,0.20384
255,0.20398
256,0.20429
257,0.20443
258,0.20488
259,0.20536
260,0.20537
261,0.20546
262,0.2055
263,0.20563
264,0.20607
265,0.2062
266,0.20666
267,0.20669
268,0.20669
269,0.20752
270,0.20768
271,0.20792
272,0.20792
273,0.20839
274,0.20865
275,0.20883
276,0.20883
277,0.20923
278,0.2094
279,0.20943
280,0.20983
281,0.20984
282,0.20993
283,0.21008
284,0.21009
285,0.2101
286,0.21023
287,0.21057
288,0.21063
289,0.21075
290,0.21124
291,0.21138
292,0.21145
293,0.21181
294,0.21182
295,0.21243
296,0.21251
297,0.21278
298,0.21285
299,0.21324
300,0.21327
301,0.21333
302,0.21346
303,0.2136
304,0.21404
305,0.21417
306,0.21436
307,0.21442
308,0.21444
309,0.21478
310,0.215
311,0.21513
312,0.21518
313,0.21576
314,0.21598
315,0.21722
316,0.21729
317,0.21738
318,0.21762
319,0.21764
320,0.21785
321,0.2179
322,0.21808
323,0.21819
324,0.21828
325,0.21836
326,0.21846
327,0.21846
328,0.21907
329,0.21912
330,0.21982
331,0.22111
332,0.22123
333,0.22124
334,0.22135
335,0.22186
336,0.22213
337,0.22216
338,0.22223
339,0.22237
340,0.2224
341,0.22251
342,0.22321
343,0.22486
344,0.22503
345,0.22593
346,0.2262
347,0.22685
348,0.22741
349,0.22755
350,0.22763
351,0.228
352,0.22881
353,0.22947
354,0.22951
355,0.2302
356,0.23051
357,0.23237
358,0.23238
359,0.23241
360,0.23253
361,0.23276
362,0.23282
363,0.23295
364,0.23314
365,0.23326
366,0.23472
367,0.23567
368,0.23589
369,0.2363
370,0.23763
371,0.23817
372,0.2383
373,0.23846
374,0.23878
375,0.23899
376,0.23908
377,0.23962
378,0.24012
379,0.24032
380,0.24062
381,0.24078
382,0.24164
383,0.24183
384,0.2419
385,0.24231
386,0.24231
387,0.24251
388,0.24279
389,0.24284
390,0.24314
391,0.24341
392,0.24365
393,0.24505
394,0.24533
395,0.24541
396,0.24555
397,0.2457
398,0.24602
399,0.24608
400,0.24632
401,0.24689
402,0.24696
403,0.2477
404,0.24897
405,0.24973
406,0.24996
407,0.25011
408,0.25032
409,0.25059
410,0.25092
411,0.2516
412,0.25208
413,0.2527
414,0.2538
415,0.2542
416,0.25487
417,0.25509
418,0.2558
419,0.25714
420,0.25755
421,0.25871
422,0.25903
423,0.2636
424,0.26392
425,0.2647
426,0.26546
427,0.26586
428,0.26594
429,0.26657
430,0.26811
431,0.26868
432,0.26991
433,0.27036
434,0.27129
435,0.27296
436,0.27384
437,0.27391
438,0.27417
439,0.27455
440,0.27527
441,0.27539
442,0.27664
443,0.27707
444,0.27716
445,0.2778
446,0.27814
447,0.27858
448,0.27873
449,0.2789
450,0.28053
451,0.28082
452,0.28092
453,0.28112
454,0.28151
455,0.2823
456,0.28291
457,0.28335
458,0.28374
459,0.28401
460,0.28436
461,0.28458
462,0.28508
463,0.28518
464,0.28712
465,0.28759
466,0.28808
467,0.28937
468,0.28941
469,0.28972
470,0.29034
471,0.29035
472,0.29125
473,0.29229
474,0.29378
475,0.29482
476,0.29496
477,0.29552
478,0.29587
479,0.2965
480,0.2975
481,0.29796
482,0.29842
483,0.29897
484,0.2996
485,0.29961
486,0.2997
487,0.30007
488,0.30062
489,0.30063
490,0.30073
491,0.30116
492,0.30445
493,0.30561
494,0.30561
495,0.30598
496,0.30762
497,0.30772
498,0.3078
499,0.30796
500,0.31022
501,0.31157
502,0.3117
503,0.31247
504,0.31301
505,0.31466
506,0.31605
507,0.31673
508,0.31745
509,0.31773
510,0.32582
511,0.32585
512,0.32847
513,0.33054
514,0.33124
515,0.33221
516,0.33348
517,0.33429
518,0.33552
519,0.33559
520,0.33587
521,0.33748
522,0.33924
523,0.33994
524,0.33995
525,0.3406
526,0.34233
527,0.34266
528,0.34322
529,0.34964
530,0.35013
531,0.35131
532,0.35258
533,0.35484
534,0.35511
535,0.35712
536,0.35788
537,0.35799
538,0.359
539,0.35913
540,0.35982
541,0.36188
542,0.36299
543,0.36307
544,0.36522
545,0.36563
546,0.36683
547,0.36784
548,0.37038
549,0.37062
550,0.37375
551,0.37432
552,0.37499
553,0.37795
554,0.37799
555,0.37833
556,0.38284
557,0.38359
558,0.38403
559,0.38436
560,0.38441
561,0.38487
562,0.38692
563,0.38743
564,0.3879
565,0.38962
566,0.38989
567,0.39016
568,0.39211
569,0.39781
570,0.39895
571,0.40155
572,0.40179
573,0.402
574,0.40213
575,0.40464
576,0.40492
577,0.40618
578,0.40741
579,0.40926
580,0.40946
581,0.4103
582,0.41236
583,0.41309
584,0.41432
585,0.41443
586,0.41497
587,0.41672
588,0.41713
589,0.4191
590,0.41933
591,0.41933
592,0.42168
593,0.42771
594,0.42812
595,0.42915
596,0.43051
597,0.43104
598,0.43641
599,0.43738
600,0.43824
601,0.43988
602,0.44103
603,0.44106
604,0.44728
605,0.44812
606,0.45068
607,0.45309
608,0.45309
609,0.45364
610,0.45878
611,0.45947
612,0.46076
613,0.46191
614,0.4633
615,0.4641
616,0.46439
617,0.46457
618,0.46481
619,0.46481
620,0.46485
621,0.46554
622,0.46614
623,0.46659
624,0.46672
625,0.46722
626,0.46748
627,0.4675
628,0.46775
629,0.46816
630,0.4682
631,0.46868
632,0.46883
633,0.46928
634,0.47025
635,0.47062
636,0.47102
637,0.47122
638,0.47145
639,0.47175
640,0.47189
641,0.47205
642,0.47205
643,0.47209
644,0.47229
645,0.47256
646,0.4727
647,0.47277
648,0.47335
649,0.47378
650,0.47398
651,0.47438
652,0.47462
653,0.47481
654,0.475
655,0.47507
656,0.47527
657,0.47553
658,0.47562
659,0.47569
660,0.47683
661,0.47706
662,0.47765
663,0.47771
664,0.47791
665,0.47818
666,0.4784
667,0.47892
668,0.47899
669,0.47927
670,0.48167
671,0.48227
672,0.48229
673,0.48297
674,0.48611
675,0.4873
676,0.4875
677,0.4889
678,0.48909
679,0.48962
680,0.48997
681,0.49186
682,0.49304
683,0.49333
684,0.49347
685,0.49738
686,0.50117
687,0.50346
688,0.50356
689,0.5052
690,0.50718
691,0.5073
692,0.5078
693,0.50885
694,0.51076
695,0.51157
696,0.51338
697,0.51844
698,0.51866
699,0.51983
700,0.52007
701,0.52013
702,0.5209
703,0.52497
704,0.53102
705,0.53121
706,0.53744
707,0.54791
708,0.5491
709,0.551
710,0.55325
711,0.55339
712,0.55802
713,0.56211
714,0.56211
715,0.56359
716,0.56603
717,0.56814
718,0.57665
719,0.57836
720,0.58067
721,0.58106
722,0.58118
723,0.5827
724,0.58394
725,0.58433
726,0.59209
727,0.59225
728,0.59255
729,0.59319
730,0.59358
731,0.5957
732,0.599
733,0.60113
734,0.60123
735,0.60157
736,0.60808
737,0.61245
738,0.61304
739,0.61383
740,0.62045
741,0.62378
742,0.62391
743,0.62987
744,0.63035
745,0.63069
746,0.63282
747,0.6329
748,0.64119
749,0.64383
750,0.64637
751,0.65448
752,0.65448
753,0.6637
754,0.6648
755,0.66667
756,0.6698
757,0.67038
758,0.67205
759,0.67782
760,0.68968
761,0.69321
762,0.69595
763,0.70721
764,0.71155
765,0.71346
766,0.71353
767,0.7144
768,0.73032
769,0.73075
770,0.73184
771,0.73496
772,0.74364
773,0.74688
774,0.75033
775,0.75033
776,0.75646
777,0.75691
778,0.75919
779,0.76362
780,0.76397
781,0.76732
782,0.77594
783,0.77975
784,0.78377
785,0.78393
786,0.78807
787,0.79343
788,0.79728
789,0.79729
790,0.80839
791,0.8116
792,0.81431
793,0.81548
794,0.81793
795,0.81989
796,0.82098
797,0.82559
798,0.83238
799,0.83407
800,0.842
801,0.84705
802,0.84724
803,0.85361
804,0.85905
805,0.86232
806,0.88776
807,0.8908
808,0.90347
809,0.9113
810,0.91602
811,0.93998
812,0.94318
813,0.94466
814,0.9511
815,0.9522
816,0.95971
817,0.95976
818,0.98066
819,0.98144
820,0.98873
821,0.99183
822,0.99471
823,1.00076
824,1.00584
825,1.01845
826,1.02265
827,1.02713
828,1.04757
829,1.05353
830,1.05599
831,1.06138
832,1.06433
833,1.06668
834,1.07627
835,1.0773
836,1.08352
837,1.08445
838,1.11646
839,1.12155
840,1.12993
841,1.13167
842,1.13472
843,1.14243
844,1.14854
845,1.15296
846,1.17083
847,1.17734
848,1.18887
849,1.1902
850,1.19562
851,1.20186
852,1.20202
853,1.2037
854,1.22086
855,1.22173
856,1.22951
857,1.23435
858,1.24072
859,1.24692
860,1.26229
861,1.26697
862,1.26697
863,1.27886
864,1.30971
865,1.31252
866,1.32536
867,1.33368
868,1.33719
869,1.36349
870,1.36714
871,1.37017
872,1.37908
873,1.38501
874,1.38909
875,1.39177
876,1.39528
877,1.40307
878,1.4206
879,1.4252
880,1.43197
881,1.43313
882,1.43407
883,1.44182
884,1.52224
885,1.52778
886,1.52854
887,1.52928
888,1.52929
889,1.53754
890,1.54072
891,1.55538
892,1.56682
893,1.60055
894,1.60288
895,1.61175
896,1.62211
897,1.62965
898,1.63553
899,1.63956
900,1.63956
901,1.67119
902,1.67399
903,1.68652
904,1.69971
905,1.71361
906,1.7164
907,1.72351
908,1.7444
909,1.7509
910,1.75792
911,1.76321
912,1.77054
913,1.77498
914,1.79013
915,1.79914
916,1.80489
917,1.81139
918,1.82896
919,1.84241
920,1.86402
921,1.87449
922,1.88959
923,1.91837
924,1.92174
925,2.03252
926,2.05509
927,2.07925
928,2.09775
929,2.13157
930,2.17689
931,2.19587
932,2.22804
933,2.25385
934,2.26659
935,2.29068
936,2.30609
937,2.33606
938,2.40681
939,2.51524
940,2.53526
941,2.61
942,2.64761
943,2.67633
944,2.69052
945,2.73502
946,2.79092
947,2.80483
948,2.85176
949,2.91036
950,2.94649
951,2.97056
952,2.97455
953,2.97498
954,2.97753
955,3.01401
956,3.02639
957,3.03244
958,3.16053
959,3.17874
960,3.18671
961,3.19437
962,3.21342
963,3.22263
964,3.23045
965,3.24009
966,3.27742
967,3.2891
968,3.30692
969,3.35787
970,3.4092
971,3.41398
972,3.45693
973,3.49898
974,3.53245
975,3.54776
976,3.55855
977,3.57049
978,3.58248
979,3.60249
980,3.61561
981,3.66551
982,3.67638
983,3.71871
984,3.74107
985,3.75352
986,3.77632
987,3.78992
988,3.80627
989,3.8167
990,3.82778
991,3.84121
992,3.84128
993,3.8483
994,3.85145
995,3.85505
996,3.87292
997,3.87673
998,3.88858
999,3.91193
1000,3.92339
1001,3.94041
1002,3.95587
1003,3.96958
1004,3.97962
1005,3.98513
1006,4.01131
1007,4.0204
1008,4.0204
1009,4.02765
1010,4.04572
1011,4.05256
1012,4.05345
1013,4.056
1014,4.06996
1015,4.08448
1016,4.0852
1017,4.10975
1018,4.11413
1019,4.14675
1020,4.14874
1021,4.15207
1022,4.16221
1023,4.16315
1024,4.17034
1025,4.18089
1026,4.22445
1027,4.22795
1028,4.23663
1029,4.25239
1030,4.2546
1031,4.26029
1032,4.26453
1033,4.27034
1034,4.29223
1035,4.29724
1036,4.30199
1037,4.3032
1038,4.31314
1039,4.31424
1040,4.32527
1041,4.34087
1042,4.34573
1043,4.36552
1044,4.37594
1045,4.39414
1046,4.43247
1047,4.46076
1048,4.49057
1049,4.50867
1050,4.51024
1051,4.53553
1052,4.54349
1053,4.55316
1054,4.55492
1055,4.56858
1056,4.56858
1057,4.56858
1058,4.56858
1059,4.57338
1060,4.57362
1061,4.61138
1062,4.63317
1063,4.63854
1064,4.64083
1065,4.64328
1066,4.64852
1067,4.66078
1068,4.66172
1069,4.66789
1070,4.66913
1071,4.67326
1072,4.7058
1073,4.71448
1074,4.71679
1075,4.73932
1076,4.73942
1077,4.74795
1078,4.76152
1079,4.76716
1080,4.7677
1081,4.76884
1082,4.77584
1083,4.78023
1084,4.78356
1085,4.78379
1086,4.78481
1087,4.78496
1088,4.78497
1089,4.78536
1090,4.78578
1091,4.78579
1092,4.78599
1093,4.78603
1094,4.78608
1095,4.78612
1096,4.78682
1097,4.78702
1098,4.78702
1099,4.78746
1100,4.78749
1101,4.78749
1102,4.78749
1103,4.78749
1104,4.78749
1105,4.78749
1106,4.78749
1107,4.78749
1108,4.78749
1109,4.78749
1110,4.78749
1111,4.78749
1112,4.78749
1113,4.78749
1114,4.78749
1115,4.78749
1116,4.78749
1117,4.78749
1118,4.78749
1119,4.78749
1120,4.78749
1121,4.78749
1122,4.78749
1123,4.78749
1124,4.78749
1125,4.78749
1126,4.78749
1127,4.78749
1128,4.78749
1129,4.78749
1130,4.78749
1131,4.78749
1132,4.78749
1133,4.78749
1134,4.78749
1135,4.78749
1136,4.78749
1137,4.78749
1138,4.78749
1139,4.78749
1140,4.78749
1141,4.78749
1142,4.78749
1143,4.78749
1144,4.78749
1145,4.78749
1146,4.78749
1147,4.78749
1148,4.78749
1149,4.78749
1150,4.78749
1151,4.78749
1152,4.78749
1153,4.78749
1154,4.78749
1155,4.78749
1156,4.78749
1157,4.78749
1158,4.78749
1159,4.78813
1160,4.78881
1161,4.79073
1162,4.79168
1163,4.79893
1164,4.81687
1165,4.84311
1166,4.84863
1167,4.86502
1168,4.88272
1169,4.89083
1170,4.90327
1171,4.90327
1172,4.90388
1173,4.90701
1174,4.91696
1175,4.94966
1176,4.95287
1177,4.95579
1178,4.96079
1179,4.96851
1180,4.98576
1181,4.98721
1182,4.99538
1183,5.04884
1184,5.11323
1185,5.14891
1186,5.15421
1187,5.17748
1188,5.22425
1189,5.23694
1190,5.27892
1191,5.30209
1192,5.40461
1193,5.44165
1194,5.47736
1195,5.47736
1196,5.49991
1197,5.55966
1198,5.57553
1199,5.57967
1200,5.67489
1201,5.68315
1202,5.70777
1203,5.8252
1204,5.89188
1205,5.90314
1206,5.93579
1207,5.94419
1208,6.10196
1209,6.1475
1210,6.16874
1211,6.27503
1212,6.33573
1213,6.34362
1214,6.52555
1215,6.54429
1216,6.72032
1217,6.7799
1218,6.82471
1219,6.95459
1220,6.97814
1221,7.13824
1222,7.21108
1223,7.25253
1224,7.32352
1225,7.95819
1226,8.10963
1227,8.24367
1228,8.30704
1229,8.63914
1230,8.70231
1231,8.8064
1232,9.22568
1233,9.44843
1234,9.55337
1235,9.88728
1236,9.95312
1237,10.0465
1238,10.3229
1239,10.36743
1240,10.38578
1241,10.95489
1242,11.39847
1243,12.23075
1244,12.39561
1245,12.41977
1246,12.46883
1247,12.59116
1248,12.9299
1249,13.10965
1250,13.21279
1251,13.93958
1252,14.38992
1253,14.75662
1254,16.22342
1255,16.29075
1256,18.80017
1257,18.89676
1258,20.41254
1259,20.42805
1260,22.82763
1261,22.8928
1262,24.03172
1263,25.18316
1264,25.85912
1265,26.26582
1266,26.26997
1267,27.25482
1268,27.86201
1269,28.79607
1270,30.7204
1271,32.32151
1272,32.54245
1273,32.77295
1274,33.00985
1275,33.01049
1276,33.56194
1277,33.56453
1278,33.78804
1279,34.09529
1280,34.29327
